tid,occ,dexts,n_rubric,n_refs,ref_exts,vis,score,prompt_head
dd724c67,Registered Nurses,.xlsx,31,0,,0,6.0,"You are a registered nurse case manager supporting a large, busy Accountable Care Organization (ACO) that serv"
6d2c8e55,Medical Secretaries and Administrative,text,50,2,".docx,.xlsx",3,6.0,It’s 2025 and you are a medical secretary for the Department of Internal Medicine. As part of your responsibil
02314fc6,General and Operations Managers,.pdf,28,0,,0,6.0,"As the Safety Coordinator in the Store Operations Department for a General Merchandise, Fresh Foods and Grocer"
ae0c1093,Private Detectives and Investigators,.pdf,14,0,,1,5.9,"You are an experienced Private Investigator, hired at a new Private Investigations company located in Columbia"
e14e32ba,Producers and Directors,text,15,1,.docx,4,5.8,"You are a video producer, and a condiment company is interested in filming a digital video at an iconic NYC Je"
f84ea6ac,Administrative Services Managers,.docx,30,0,,1,5.8,You are an administrative operations lead in a government department responsible for citizen-facing services. 
a4a9195c,"Shipping, Receiving, and Inventory Cle",.docx,55,0,,1,5.8,You are a Warehouse Manager responsible for developing processes and procedures for the team members to utiliz
feb5eefc,Personal Financial Advisors,text,83,0,,3,5.4,"You are a wealth advisor (CFP®) at a registered investment advisory firm. A 62‑year‑old client, married with t"
ef8719da,"News Analysts, Reporters, and Journali",text,40,0,,3,5.4,You are a senior reporter at a leading digital science news outlet known for covering emerging debates and dev
9efbcd35,"Securities, Commodities, and Financial",text,46,0,,3,5.4,It is April 2025 and you are an institutional client services professional for an asset manager that invests i
cd9efc18,Lawyers,text,67,0,,3,5.4,"You work at a new estate planning law firm in Texas. It is April 2023, and your supervising attorney has asked"
0e4fe8cd,Concierges,text,50,0,,3,5.4,You are the Chief of Staff and Head of Concierge for an ultra-high net worth individual. He is a visionary fou
36d567ba,Compliance Officers,.docx,27,0,,0,5.0,You are a grants management specialist with the federal government whose roles and responsibilities are to app
15ddd28d,Buyers and Purchasing Agents,.docx,46,0,,0,5.0,You are the senior category buyer for automotive electronics—specifically headlamps and tail lamps— at LiIon M
74d6e8b0,Medical and Health Services Managers,.docx,54,0,,0,5.0,"You are the medical director of a startup that is building a virtual menopause care platform called ""MenoHelp"""
55ddb773,"Property, Real Estate, and Community A",text,41,1,.pdf,2,4.9,You are the community association manager of a master association with 7 sub associations that are a mix of si
0818571f,Real Estate Brokers,text,32,1,.pdf,2,4.9,You are a Real Estate Broker licensed in the state of Florida specializing in retail shopping centers. You are
8079e27d,Financial and Investment Analysts,text,40,0,,2,4.6,"It is April 11, 2025 and you are an Investment Banking Analyst in the Equity Capital Markets group. Given rece"
c94452e4,Film and Video Editors,text,28,2,".pdf,.psd",1,4.4,You are a video editor in California and one of your clients is an agency specializing in progressive social/p
4de6a529,"Securities, Commodities, and Financial",text,44,1,.pdf,0,3.3,"It is April 2025, you are the lead Portfolio Strategist for Stanton Capital, one of the world's largest asset "
d3d255b2,Real Estate Sales Agents,text,29,1,.pdf,0,3.3,You are the listing real estate agent representing a seller client that wants to sell their home as quickly as
